month,<56,56-66,67-76,77+
1,10,0,0,0
2,2,0,0,0
3,2,0,0,0
4,3,0,1,0
5,1,1,0,0
6,2,0,0,0
7,2,0,0,0
8,1,0,0,0
9,1,1,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,1,0,0,0
