Lung/pleura|Deceased,38
Lung/pleura|Lung/pleura|Deceased,25
Lung/pleura|Lung/pleura|Bone|Deceased,20
Lung/pleura|Lung/pleura|LN (dist)|Deceased,14
Lung/pleura|Brain|Deceased,14
Lung/pleura|Living,14
Lung/pleura|Lung/pleura|Living,7
Lung/pleura|Lung/pleura|Brain|Bone|Deceased,7
Lung/pleura|Lung/pleura|Brain|Deceased,5
Lung/pleura|Lung/pleura|LN (dist)|Bone|Deceased,5
Lung/pleura|Bone|Deceased,5
Lung/pleura|Liver|Lung/pleura|Bone|Deceased,4
Lung/pleura|Lung/pleura|Liver|Deceased,4
Lung/pleura|Lung/pleura|Brain|LN (dist)|Bone|Deceased,3
Lung/pleura|Lung/pleura|Pericardium|Deceased,3
Lung/pleura|Liver|Lung/pleura|LN (dist)|Bone|Deceased,3
Lung/pleura|Lung/pleura|Liver|Bone|Deceased,3
Lung/pleura|Liver|Deceased,3
Lung/pleura|Brain|LN (dist)|Deceased,3
Lung/pleura|Lung/pleura|LN (dist)|Liver|Deceased,2
Lung/pleura|Lung/pleura|Muscles|Bone|Deceased,2
Lung/pleura|Liver|Lung/pleura|Brain|Adrenal|Bone|Deceased,2
Lung/pleura|LN (dist)|Deceased,2
Lung/pleura|Lung/pleura|Adrenal|Bone|Deceased,2
Lung/pleura|Adrenal|Deceased,2
Lung/pleura|Liver|Lung/pleura|Brain|Deceased,2
Lung/pleura|Liver|Bone|Deceased,2
Lung/pleura|Liver|Lung/pleura|Adrenal|Deceased,2
Lung/pleura|Liver|Lung/pleura|Adrenal|Bone|Deceased,2
Lung/pleura|Lung/pleura|LN (dist)|Pericardium|Deceased,2
Lung/pleura|Lung/pleura|Bone|Adrenal|Pericardium|Deceased,2
Lung/pleura|Bone|Lung/pleura|Deceased,2
Lung/pleura|Lung/pleura|LN (dist)|Adrenal|Bone|Deceased,2
Lung/pleura|Lung/pleura|Brain|Adrenal|Deceased,2
Lung/pleura|Brain|LN (dist)|Adrenal|Deceased,2
Lung/pleura|Lung/pleura|Brain|Bone|Lung/pleura|Brain|Deceased,2
Lung/pleura|Lung/pleura|Muscles|Deceased,2
Lung/pleura|Liver|Lung/pleura|Pericardium|Deceased,2
Lung/pleura|Lung/pleura|Adrenal|Bone|Liver|Deceased,2
Lung/pleura|LN (dist)|Lung/pleura|Deceased,2
Lung/pleura|Lung/pleura|Liver|Ab Wall|Deceased,2
