Breast,Bone,LN (dist),Lung/pleura,Liver,Chest Wall,Ipsi Breast,LN (reg),Brain,Other,Skin,Contra Breast,Bone Marrow,Ovary,Kidney/Adrenal,Other CNS,Pericardium,Ab Wall,Deceased
0.0,0.2309919436052366,0.1550855991943605,0.15332326283987913,0.11002014098690834,0.1005790533736153,0.07036757301107753,0.06092648539778448,0.04594662638469284,0.027316213494461224,0.01158106747230614,0.00956696878147029,0.006419939577039274,0.006294058408862034,0.004531722054380664,0.004405840886203423,0.0020140986908358505,0.0006294058408862033,0.0
0.0,0.0,0.07619423608369524,0.11054086063955786,0.1717331227793131,0.019739439399921045,0.00434267666798263,0.013817607579944732,0.10698776154757206,0.04303197789182788,0.010264508487958944,0.006316620607974735,0.015396762731938416,0.008290564547966839,0.011448874851954206,0.022897749703908413,0.002763521515988946,0.005132254243979472,0.3711014607185157
0.0,0.11457772996234536,0.0,0.14254975793437333,0.08875739644970415,0.03819257665411512,0.0048413125336202265,0.03442711135018828,0.11565357719203874,0.027972027972027975,0.02474448628294782,0.018827326519634216,0.007530930607853685,0.0048413125336202265,0.01506186121570737,0.018827326519634216,0.010758472296933837,0.006993006993006994,0.3254437869822485
0.0,0.1033379058070416,0.07544581618655692,0.0,0.09967992684042065,0.019204389574759943,0.0022862368541380885,0.013260173754000912,0.13260173754000915,0.031092821216278002,0.014631915866483767,0.008230452674897118,0.004572473708276177,0.005486968449931413,0.011431184270690443,0.014631915866483767,0.006401463191586647,0.004115226337448559,0.4535893918609968
0.0,0.08603292618162507,0.05204460966542752,0.0690387679235263,0.0,0.009028146574614976,0.0010621348911311738,0.00849707912904939,0.11524163568773235,0.03717472118959109,0.004779607010090282,0.004248539564524695,0.006372809346787043,0.004779607010090282,0.01168348380244291,0.020711630377057887,0.0069038767923526295,0.007966011683483803,0.5544344131704727
0.0,0.14521112255406798,0.14933058702368693,0.14933058702368693,0.10401647785787849,0.0,0.010298661174047376,0.05870236869207003,0.04737384140061792,0.014418125643666324,0.03398558187435634,0.029866117404737384,0.006179196704428426,0.00411946446961895,0.003089598352214213,0.010298661174047376,0.0082389289392379,0.011328527291452112,0.2142121524201854
0.0,0.1382488479262673,0.13594470046082952,0.14285714285714288,0.08525345622119816,0.11520737327188942,0.0,0.07603686635944701,0.04838709677419355,0.0069124423963133645,0.029953917050691246,0.04377880184331797,0.0069124423963133645,0.0,0.002304147465437788,0.01152073732718894,0.0,0.0,0.15668202764976957
0.0,0.1399688958009331,0.1181959564541213,0.1477449455676516,0.09642301710730948,0.057542768273716946,0.013996889580093312,0.0,0.07465007776049767,0.035769828926905126,0.015552099533437015,0.020217729393468116,0.004665629860031105,0.004665629860031105,0.010886469673405908,0.00933125972006221,0.003110419906687403,0.012441679626749611,0.2348367029548989
0.0,0.05263157894736843,0.030583214793741115,0.05263157894736843,0.0597439544807966,0.005689900426742533,0.0014224751066856333,0.0035561877667140834,0.0,0.01920341394025605,0.00640113798008535,0.004978662873399716,0.00213371266002845,0.00213371266002845,0.009957325746799433,0.04978662873399717,0.00213371266002845,0.009246088193456617,0.6877667140825038
0.0,0.06849315068493153,0.0445205479452055,0.05993150684931509,0.06506849315068496,0.013698630136986306,0.0017123287671232882,0.015410958904109595,0.0736301369863014,0.0,0.008561643835616441,0.006849315068493153,0.005136986301369865,0.005136986301369865,0.006849315068493153,0.017123287671232883,0.008561643835616441,0.013698630136986306,0.5856164383561646
